1368,Parent Department,Specialization,Roll Number,Course Code,Semester #,Course Name,LTP,Credit,Type,offered_for_minor,Comments,,,1368,Example,Course Code,Course Name,LTP,Credit,Type,offered_for_minor
182,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS1101,1,Foundations of Programming ,3-0-3,4.5,Core,0,,,,,,,,,,,
183,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,PH1101/PH1201,1,Physics,3-1-3,5.5,Core,0,,,,,,,,,,,
184,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CE1101/CE1201,1,Engineering Graphics,1-0-3,2.5,Core,0,,,,,,,,,,,
185,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,EE1101/EE1201,1,Electrical Sciences,3-0-3,4.5,Core,0,,,,,,,,,,,
186,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,HS1101,1,English for Professionals,2-0-1,2.5,HS,0,,,,,,,,,,,
187,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,MA1201,2,Probability Theory and Ordinary Differential Equations,3-1-0,4,Core,0,,,,,,,,,,,
188,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS1201,2,Data Structure,3-0-3,4.5,Core,0,,,,,,,,,,,
189,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CH1201/CH1101,2,Chemistry,3-1-3,5.5,Core,0,,,,,,,,,,,
190,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,ME1201/ME1101,2,Mechanical Fabrication,0-0-3,1.5,Core,0,,,,,,,,,,,
191,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,ME1202/ME1102,2,Engineering Mechanics,3-1-0,4,Core,0,,,,,,,,,,,
192,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,IK1101,2,IKS,3-0-0,3,IKS,0,,,,,,,,,,,
193,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2101,3,Algorithm,3-0-3,4.5,Core,0,,,,,,,,,,,
194,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2102,3,Digital Logic and Computer Organization,3-0-3,4.5,Core,0,,,,,,,,,,,
195,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2103,2,Artificial Intelligence Concepts,2-0-2,3,Core,1,,,,,,,,,,,
196,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2104,3,Discrete Mathematics,3-0-0,3,Core,0,,,,,,,,,,,
197,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2105,3,Optimization Techniques,3-0-0,3,Core,0,,,,,,,,,,,
198,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,HS21PQ,3,HSS Elective I,3-0-0,3,HS,0,,,,,,,,,,,
199,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2201,4,Formal Language and Automata Theory,3-0-0,3,Core,0,,,,,,,,,,,
200,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2202,4,Database and Warehousing,3-0-2,4,Core,1,,,,,,,,,,,
201,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2203,4,Artificial Intelligence,3-0-3,4.5,Core,0,,,,,,,,,,,
202,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2204,4,IT Workshop,0-2-2,3,Core,0,,,,,,,,,,,
203,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2206,4,Data Analytics and Visualization,3-0-3,4.5,Core,0,,,,,,,,,,,
204,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS2209,4,IDE1 (Introduction to Data Science),3-0-0,3,IDE1,0,,,,,,,,,,,
205,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS3101,5,Operating System,3-0-3,4.5,Core,0,,,,,,,,,,,
206,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS3102,5,Computer Network,3-0-3,4.5,Core,0,,,,,,,,,,,
207,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS3103,5,Machine Learning,3-0-3,4.5,Core,1,,,,,,,,,,,
208,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS3105,5,Natural Language Processing,3-0-3,4.5,Core,0,,,,,,,,,,,
209,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS3109,5,IDE1I (Computer Graphics),3-0-0,3,IDE2,0,,,,,,,,,,,
210,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS3201,6,Cyber Security,3-0-2,4,Core,0,,,,,,,,,,,
211,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS3202,6,Deep Learning,3-0-3,4.5,Core,0,,,,,,,,,,,
212,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS3204,6,Computer Vision,3-0-3,4.5,Core,0,,,,,,,,,,,
213,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS3299,6,Capstone Project,0-0-6,3,Core,0,,,,,,,,,,,
214,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS32XX,6,DE1,3-0-0,3,DE1,0,,,,,,,,,,,
215,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS41XX,7,DE1I,3-0-0,3,DE2,0,,,,,,,,,,,
216,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS41XX,7,DE1II,3-0-0,3,DE3,0,,,,,,,,,,,
217,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS4109,7,IDE - III (Data Analysis and Visualization),3-0-0,3,IDE3,0,,,,,,,,,,,
218,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,HS41PQ,7,HSS Elective II,3-0-0,3,HS2,0,,,,,,,,,,,
219,Computer Science & Engineering,Artificial Intelligence and Data Science,2401AI,CS4198,7,Summer Internship*/ Summer Project,0-0-12,3,SI/SP,0,,,,,,,,,,,
