Course Code,Course Name,LTP,Credit,Type
CH4109,Group Theory and Spectroscopy,3-0-0,3.0,DE3
CH4110,Application of Statistical Mechanics in Chemistry.,3-0-0,3.0,DE3
CH4207,Catalysis,3-0-0,3.0,DE4
CH4208,Colloids and Interface Chemistry,3-0-0,3.0,DE4
CH4209,Food Chemistry,3-0-0,3.0,DE5
CH4210,Green and Sustainable Chemistry,3-0-0,3.0,DE5
CH4211,Materials Chemistry,3-0-0,3.0,DE6
CH4212,Organic Semiconductors: Fundamentals to Applications,3-0-0,3.0,DE6
CS2209,Introduction to Data Science,3-0-3,3.0,IDE1
CS3109,Computer Graphics,3-0-0,3.0,IDE2
CS4109,Data Analysis and Visualization,3-0-0,3.0,IDE3
CS3221,Object-Oriented Programming,3-0-0,3.0,DE1
CS3222,Agile Computing,3-0-0,3.0,DE1
CS3223,Software Engineering,3-0-0,3.0,DE1
CS3224,Bayesian Data Analysis,3-0-0,3.0,DE1
CS3225,Data Mining,3-0-0,3.0,DE1
CS3226,Information Retrieval,3-0-0,3.0,DE1
CS4121,Pattern Recognition,3-0-0,3.0,DE2
CS4122,Principles of Programming Languages,3-0-0,3.0,DE2
CS4123,Social Networks,3-0-0,3.0,DE2
CS4124,Multimedia System,3-0-0,3.0,DE2
CS4126,Nature Inspired Algorithms,3-0-0,3.0,DE2
CS4127,Graph Machine Learning,3-0-0,3.0,DE3
CS4128,Bioinformatics,3-0-0,3.0,DE3
CS4129,Time Series Analysis,3-0-0,3.0,DE3
CS4131,Computational Data Analysis,3-0-0,3.0,DE3
CS4132,Blockchain Technology,3-0-0,3.0,DE3
CS4133,Evolutionary Computing,3-0-0,3.0,DE3
CS4221,Multivariate Analysis,3-0-0,3.0,DE4
CS4222,Generative AI,3-0-0,3.0,DE4
CS4223,Statistical Machine Learning,3-0-0,3.0,DE4
CS4224,Text Mining,3-0-0,3.0,DE4
CS4226,Cloud Computing,3-0-0,3.0,DE5
CS4227,Quantum Computing,3-0-0,3.0,DE5
CS4228,Drone Data Processing,3-0-0,3.0,DE5
CS4229,Edge Computing,3-0-0,3.0,DE5
CS4230,Wireless Networks,3-0-0,3.0,DE5
CS4233,Computer Security,3-0-0,3.0,DE6
CS4234,Cryptography,3-0-0,3.0,DE6
CS4235,Big Data Analytics,3-0-0,3.0,DE6
CS4236,Computer Forensics,3-0-0,3.0,DE6
CS4125,Program Analysis and Verification,3-0-0,3.0,DE2
CS4130,Advanced Graph Theory,3-0-0,3.0,DE3
CS4225,Combinatorial optimization,3-0-0,3.0,DE4
CS4231,Distributed Computing,3-0-0,3.0,DE5
CS4232,Parallel Computing,3-0-0,3.0,DE5
EC4101,Introduction to Quantum Computing,3-0-0,3.0,DE1
EC4102,Deep Learning for Video Surveillance Systems,3-0-0,3.0,DE1
EC4103,FPGA based System Design,3-0-0,3.0,DE1
EC4104,Introduction to Information Theory,3-0-0,3.0,DE2
EC4105,Digital Image Processing,3-0-0,3.0,DE2
EC4106,Graph Signal Processing,3-0-0,3.0,DE2
EC4201,Mobile Communications,3-0-0,3.0,DE3
EC4202,Opto Electronic Devices,3-0-0,3.0,DE3
EE4203,Introduction to Energy Storage Techniques,3-0-0,3.0,DE3
EC4203,Introduction to Optical Communications,3-0-0,3.0,DE4
EC4204,Low Power Circuits,3-0-0,3.0,DE4
EE4206,Fundamentals of Electrical Vehicle Technology,3-0-0,3.0,DE4
EC4205,Biomedical Signal Processing,3-0-0,3.0,DE5
EC4206,High Power Semiconductor Devices,3-0-0,3.0,DE5
EC4207,Biomedical Instrumentation,3-0-0,3.0,DE5
EE4101,Electrical Traction and Propulsion,3-0-0,3.0,DE1
EE4102,Power System Reliability,3-0-0,3.0,DE2
EE4201,Power      System Protection,3-0-0,3.0,DE3
EE4202,Digital     Control Systems,3-0-0,3.0,DE3
EE4204,Special       Electrical Machines,3-0-0,3.0,DE4
EE4205,High          Voltage Engineering,3-0-0,3.0,DE4
MA4111,Advanced Algorithms,3-0-0,3.0,DE1
MA4112,Cryptography and Network Security,3-0-0,3.0,DE1
MA4113,Rings and Modules,3-0-0,3.0,DE1
MA4114,Deep Learning,2-0-2,3.0,DE2
MA4115,Fields and Galois theory,3-0-0,3.0,DE2
MA4116,Mathematical Finance,3-0-0,3.0,DE2
MA4211,Control Theory,3-0-0,3.0,DE3
MA4212,Finite Element Analysis,3-0-0,3.0,DE3
MA4213,Introduction to Coding Theory,3-0-0,3.0,DE3
MA4214,Portfolio Theory and Risk Management,3-0-0,3.0,DE3
MA4215,Topology,3-0-0,3.0,DE3
MA4216,Differential Geometry,3-0-0,3.0,DE4
MA4217,Introduction to Mathematical Biology,3-0-0,3.0,DE4
MA4218,Statistical Decision Theory,3-0-0,3.0,DE4
MA4220,Deep Learning for Computer Vision,2-0-2,3.0,DE5
MA4221,Discrete Differential Geometry,3-0-0,3.0,DE5
MA4222,Integral Equations and Calculus of Variations,3-0-0,3.0,DE5
MA2251,Introduction to Numerical Methods,3-0-0,3.0,IDE1
MA2252,Complex Analysis,3-0-0,3.0,IDE1
MA3151,An Introduction to Computational Commutative Algebra,3-0-0,3.0,IDE2
MA3152,Partial Differential Equations,3-0-0,3.0,IDE2
MA4151,Number Theory and Algebra,3-0-0,3.0,IDE3
MA4152,Mathematical Relativity,3-0-0,3.0,IDE3
ME4101,Tribology and Surface Engineering,3-0-0,3.0,DE1
ME4102,Basics of Computational Fluid Dynamics,3-0-0,3.0,DE1
ME4104,Industrial Automation,3-0-0,3.0,DE1
ME4105,Vehicle Dynamics,3-0-0,3.0,DE2
ME4106,Mathematical Modelling of Computer Aided Design,3-0-0,3.0,DE2
